timestamp,face,facial_area,confidence,face_id,path
1698915882,"[[[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 ...

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]]","{'x': 589, 'y': 169, 'w': 182, 'h': 182}",4.016259063209873,1,1698915883.035114_frame.jpg
1698915946,"[[[0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  ...
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]]

 [[0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  ...
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]]

 [[0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5803922  0.5803922  0.5803922 ]
  ...
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]]

 ...

 [[0.5921569  0.5921569  0.5921569 ]
  [0.59607846 0.59607846 0.59607846]
  [0.59607846 0.59607846 0.59607846]
  ...
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]]

 [[0.5921569  0.5921569  0.5921569 ]
  [0.5921569  0.5921569  0.5921569 ]
  [0.59607846 0.59607846 0.59607846]
  ...
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]]

 [[0.5921569  0.5921569  0.5921569 ]
  [0.5921569  0.5921569  0.5921569 ]
  [0.59607846 0.59607846 0.59607846]
  ...
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]
  [0.58431375 0.58431375 0.58431375]]]","{'x': 774, 'y': 76, 'w': 88, 'h': 88}",3.3739721741876565,1,1698915949.026122_frame.jpg
1698915946,"[[[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 ...

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]]","{'x': 542, 'y': 178, 'w': 184, 'h': 184}",8.653200073109474,2,1698915950.431565_frame.jpg
1698915950,"[[[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 ...

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]]","{'x': 541, 'y': 147, 'w': 185, 'h': 185}",8.651866026164498,2,1698915951.347776_frame.jpg
1698915952,"[[[0.12941177 0.12941177 0.12941177]
  [0.12941177 0.12941177 0.12941177]
  [0.12941177 0.12941177 0.12941177]
  ...
  [0.4117647  0.4117647  0.40392157]
  [0.4117647  0.40784314 0.40392157]
  [0.40784314 0.40392157 0.4       ]]

 [[0.13333334 0.13333334 0.13333334]
  [0.13333334 0.13333334 0.13333334]
  [0.12941177 0.12941177 0.12941177]
  ...
  [0.39215687 0.3882353  0.38431373]
  [0.4        0.39607844 0.39215687]
  [0.39607844 0.39215687 0.39215687]]

 [[0.13333334 0.13333334 0.13333334]
  [0.13333334 0.13333334 0.13333334]
  [0.13333334 0.13333334 0.13333334]
  ...
  [0.31764707 0.3137255  0.30980393]
  [0.34901962 0.34117648 0.34117648]
  [0.3647059  0.36078432 0.35686275]]

 ...

 [[0.52156866 0.5137255  0.5137255 ]
  [0.5176471  0.5137255  0.5058824 ]
  [0.5137255  0.50980395 0.5058824 ]
  ...
  [0.4745098  0.4745098  0.4745098 ]
  [0.4745098  0.4745098  0.4745098 ]
  [0.47058824 0.47058824 0.47058824]]

 [[0.6039216  0.5019608  0.41960785]
  [0.6        0.49803922 0.41568628]
  [0.6        0.49411765 0.4117647 ]
  ...
  [0.4745098  0.4745098  0.4745098 ]
  [0.4745098  0.4745098  0.4745098 ]
  [0.47058824 0.47058824 0.47058824]]

 [[0.7294118  0.4745098  0.27058825]
  [0.7294118  0.4745098  0.27058825]
  [0.7294118  0.4745098  0.27058825]
  ...
  [0.4745098  0.4745098  0.4745098 ]
  [0.4745098  0.4745098  0.4745098 ]
  [0.4745098  0.4745098  0.4745098 ]]]","{'x': 314, 'y': 210, 'w': 165, 'h': 165}",4.5709070937591605,2,1698915953.275237_frame.jpg
1698915953,"[[[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 ...

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]]","{'x': 532, 'y': 185, 'w': 172, 'h': 172}",5.464922109793406,1,1698915954.49202_frame.jpg
1698915953,"[[[0.49803922 0.49803922 0.49803922]
  [0.49803922 0.49803922 0.49803922]
  [0.49803922 0.49803922 0.49803922]
  ...
  [0.65882355 0.65882355 0.65882355]
  [0.65882355 0.65882355 0.65882355]
  [0.65882355 0.65882355 0.65882355]]

 [[0.49803922 0.49803922 0.49803922]
  [0.49803922 0.49803922 0.49803922]
  [0.49803922 0.49803922 0.49803922]
  ...
  [0.6627451  0.6627451  0.6627451 ]
  [0.65882355 0.65882355 0.65882355]
  [0.65882355 0.65882355 0.65882355]]

 [[0.49803922 0.49803922 0.49803922]
  [0.49803922 0.49803922 0.49803922]
  [0.49803922 0.49803922 0.49803922]
  ...
  [0.6627451  0.6627451  0.6627451 ]
  [0.6627451  0.6627451  0.6627451 ]
  [0.6627451  0.6627451  0.6627451 ]]

 ...

 [[0.5372549  0.5372549  0.5372549 ]
  [0.5372549  0.5372549  0.5372549 ]
  [0.5411765  0.5411765  0.5411765 ]
  ...
  [0.57254905 0.57254905 0.57254905]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 [[0.5411765  0.5411765  0.5411765 ]
  [0.5411765  0.5411765  0.5411765 ]
  [0.5411765  0.5411765  0.5411765 ]
  ...
  [0.57254905 0.57254905 0.57254905]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 [[0.5411765  0.5411765  0.5411765 ]
  [0.5411765  0.5411765  0.5411765 ]
  [0.5411765  0.5411765  0.5411765 ]
  ...
  [0.57254905 0.57254905 0.57254905]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]]","{'x': 330, 'y': 502, 'w': 102, 'h': 102}",4.044673060474452,1,1698915958.312133_frame.jpg
1698915958,"[[[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 ...

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]]","{'x': 588, 'y': 146, 'w': 180, 'h': 180}",4.8220950923278,1,1698915961.167708_frame.jpg
1698915961,"[[[0.56078434 0.5647059  0.5568628 ]
  [0.56078434 0.5647059  0.5568628 ]
  [0.5529412  0.5647059  0.5568628 ]
  ...
  [0.5647059  0.5647059  0.5647059 ]
  [0.5647059  0.5647059  0.5647059 ]
  [0.5647059  0.5647059  0.5647059 ]]

 [[0.56078434 0.5647059  0.5568628 ]
  [0.56078434 0.5647059  0.5568628 ]
  [0.5529412  0.5647059  0.5568628 ]
  ...
  [0.5647059  0.5647059  0.5647059 ]
  [0.5647059  0.5647059  0.5647059 ]
  [0.5647059  0.5647059  0.5647059 ]]

 [[0.56078434 0.5647059  0.5568628 ]
  [0.56078434 0.5647059  0.5568628 ]
  [0.5568628  0.5647059  0.5568628 ]
  ...
  [0.5647059  0.5647059  0.5647059 ]
  [0.5647059  0.5647059  0.5647059 ]
  [0.5647059  0.5647059  0.5647059 ]]

 ...

 [[0.5803922  0.5803922  0.5803922 ]
  [0.5803922  0.5803922  0.5803922 ]
  [0.58431375 0.58431375 0.58431375]
  ...
  [0.56078434 0.5568628  0.5568628 ]
  [0.5568628  0.5529412  0.5568628 ]
  [0.5568628  0.5529412  0.5568628 ]]

 [[0.5803922  0.5803922  0.5803922 ]
  [0.5803922  0.5803922  0.5803922 ]
  [0.5803922  0.5803922  0.5803922 ]
  ...
  [0.5568628  0.5568628  0.5568628 ]
  [0.5568628  0.5568628  0.5568628 ]
  [0.5568628  0.5568628  0.5568628 ]]

 [[0.5803922  0.5803922  0.5803922 ]
  [0.5803922  0.5803922  0.5803922 ]
  [0.5803922  0.5803922  0.5803922 ]
  ...
  [0.5568628  0.5568628  0.5568628 ]
  [0.5568628  0.5568628  0.5568628 ]
  [0.5568628  0.5568628  0.5568628 ]]]","{'x': 769, 'y': 160, 'w': 81, 'h': 81}",1.901017127733212,1,1698915965.832746_frame.jpg
1698915965,"[[[0.56078434 0.56078434 0.56078434]
  [0.56078434 0.56078434 0.56078434]
  [0.56078434 0.56078434 0.56078434]
  ...
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 [[0.56078434 0.56078434 0.56078434]
  [0.56078434 0.56078434 0.56078434]
  [0.56078434 0.56078434 0.56078434]
  ...
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 [[0.56078434 0.56078434 0.56078434]
  [0.56078434 0.56078434 0.56078434]
  [0.5647059  0.5647059  0.5647059 ]
  ...
  [0.5803922  0.5803922  0.5803922 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 ...

 [[0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  ...
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 [[0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  ...
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]

 [[0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  ...
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]
  [0.5764706  0.5764706  0.5764706 ]]]","{'x': 768, 'y': 160, 'w': 79, 'h': 79}",1.901017127733212,1,1698915968.86668_frame.jpg
